05:58:47.892163 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 339048:339212, ack 145, win 501, length 164
05:58:47.892247 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [P.], seq 145:181, ack 308584, win 513, length 36
05:58:47.892247 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 328344, win 509, length 0
05:58:47.892368 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 339212:339592, ack 181, win 501, length 380
05:58:47.892462 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 339592:339756, ack 181, win 501, length 164
05:58:47.892550 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 339756:339920, ack 181, win 501, length 164
05:58:47.892632 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 339920:340084, ack 181, win 501, length 164
05:58:47.892718 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340084:340248, ack 181, win 501, length 164
05:58:47.892799 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340248:340412, ack 181, win 501, length 164
05:58:47.892885 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340412:340576, ack 181, win 501, length 164
05:58:47.892966 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340576:340740, ack 181, win 501, length 164
05:58:47.893052 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340740:340904, ack 181, win 501, length 164
05:58:47.893133 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 340904:341068, ack 181, win 501, length 164
05:58:47.893218 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341068:341232, ack 181, win 501, length 164
05:58:47.893299 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341232:341396, ack 181, win 501, length 164
05:58:47.893383 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341396:341560, ack 181, win 501, length 164
05:58:47.893464 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341560:341724, ack 181, win 501, length 164
05:58:47.893544 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341724:341888, ack 181, win 501, length 164
